"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"High","2026-07-16 08:18:01 PM","2026-07-16 08:33:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 05:18:01 PM","2026-07-16 05:33:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 04:33:01 PM","2026-07-16 04:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 11:18:01 AM","2026-07-16 11:33:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 09:15:20 AM","2026-07-16 09:23:53 AM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","8m 33s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 09:15:20 AM","2026-07-16 09:23:53 AM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","8m 33s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 04:48:01 AM","2026-07-16 05:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 04:45:21 AM","2026-07-16 04:53:53 AM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","8m 32s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 04:45:21 AM","2026-07-16 04:53:53 AM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","8m 32s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 02:18:01 AM","2026-07-16 02:33:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-15 09:48:01 PM","2026-07-15 10:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-15 05:33:01 PM","2026-07-15 05:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-15 12:56:51 PM","2026-07-15 01:05:20 PM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","8m 29s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-15 12:56:51 PM","2026-07-15 01:05:20 PM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","8m 29s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-15 11:48:01 AM","2026-07-15 12:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-14 06:02:46 PM","2026-07-14 06:05:46 PM","RESOLVED","ANU-APUA01-MPLS02","ICMP: High ICMP ping response time","3m","No","Actions (4)","alerttype: network performance, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.151, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-07-14 08:13:53 AM","2026-07-14 08:23:53 AM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","10m","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-14 08:13:53 AM","2026-07-14 08:23:53 AM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","10m","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-13 11:26:46 PM","2026-07-13 11:27:46 PM","RESOLVED","ANU-APUA01-MPLS02","ICMP: High ICMP ping response time","1m","No","Actions (4)","alerttype: network performance, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.151, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-13 10:48:01 PM","2026-07-13 11:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Unsuppressed, Actions (5)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 10:23:53 PM","2026-07-13 10:35:21 PM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","11m 28s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 10:23:53 PM","2026-07-13 10:35:21 PM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","11m 28s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-13 09:03:01 PM","2026-07-13 09:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 02:35:23 PM","2026-07-13 02:45:24 PM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","10m 1s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 02:35:23 PM","2026-07-13 02:45:24 PM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","10m 1s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-13 02:33:01 PM","2026-07-13 02:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-13 01:48:01 PM","2026-07-13 02:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-13 01:03:01 PM","2026-07-13 01:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 12:53:53 PM","2026-07-13 01:05:21 PM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","11m 28s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 12:53:53 PM","2026-07-13 01:05:21 PM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","11m 28s","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-13 11:41:46 AM","2026-07-13 11:45:46 AM","RESOLVED","ANU-APUA01-MPLS02","ICMP: High ICMP ping response time","4m","No","Actions (4)","alerttype: network performance, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.151, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-13 01:33:01 AM","2026-07-13 01:48:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 09:48:01 PM","2026-07-12 10:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 08:48:01 PM","2026-07-12 09:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 08:18:01 PM","2026-07-12 08:33:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 07:18:01 PM","2026-07-12 07:33:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 08:18:01 AM","2026-07-12 08:33:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 07:33:01 AM","2026-07-12 08:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 06:48:01 AM","2026-07-12 07:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 04:03:01 AM","2026-07-12 04:18:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 03:03:01 AM","2026-07-12 03:18:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-12 01:33:01 AM","2026-07-12 01:48:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 11:48:01 PM","2026-07-12 12:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 10:33:01 PM","2026-07-11 10:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 08:48:01 PM","2026-07-11 09:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 03:03:01 PM","2026-07-11 03:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 08:18:01 AM","2026-07-11 08:33:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 07:48:01 AM","2026-07-11 08:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-11 06:03:01 AM","2026-07-11 06:33:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-10 11:03:01 PM","2026-07-10 11:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-10 05:03:01 PM","2026-07-10 05:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-10 12:33:01 PM","2026-07-10 12:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-10 05:48:01 AM","2026-07-10 06:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-10 12:48:01 AM","2026-07-10 01:18:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-09 11:48:01 PM","2026-07-10 12:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-09 09:48:01 PM","2026-07-09 10:03:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Unsuppressed, Actions (5)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-09 02:33:01 PM","2026-07-09 02:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-09 12:33:52 PM","2026-07-09 12:43:53 PM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/28(TO_TEST_SET_100G): Link down","10m 1s","No","Actions (4)","alerttype: availability, alias: TO_TEST_SET_100G, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/28, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-08 10:03:01 PM","2026-07-08 10:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-08 07:03:01 PM","2026-07-08 07:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-08 05:03:01 PM","2026-07-08 05:18:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-08 02:18:01 PM","2026-07-08 02:33:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-08 07:33:01 AM","2026-07-08 07:48:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-08 02:33:01 AM","2026-07-08 02:48:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
