"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-06-26 07:46:47 AM","2026-06-26 08:04:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5.0(): High bandwidth usage (>90%)","17m 41s","No","Actions (4)","alerttype: capacity, alias, class: network, component: interface, country: guatemala, interface: ae5.0, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 07:36:23 AM","2026-06-26 07:46:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","10m 5s","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-26 07:33:33 AM","2026-06-26 07:40:33 AM","RESOLVED","GTM-CNCTJ-MPLS01","Module FPC: MPC3E NG PQ & Flex Q @ 3/*/* is in (Down or Off) State","7m","No","Actions (4)","alerttype: hardware, class: network, country: guatemala, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 07:17:40 AM","2026-06-26 07:29:11 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","11m 31s","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 07:17:40 AM","2026-06-26 07:29:11 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/2(TO-GTM-CNGTC-MPLS01-xe-3/0/3_5002097.TR_BKBN_MPLS): Link down","11m 31s","No","Actions (4)","alerttype: availability, alias: TO-GTM-CNGTC-MPLS01-xe-3/0/3_5002097.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: xe-3/0/2, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 07:17:40 AM","2026-06-26 07:29:11 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","11m 31s","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 07:17:40 AM","2026-06-26 07:29:11 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/0(TO-GTM-CNCTJ-ME3801-GE-0/4_5002028.TR_NNI_XXX): Link down","11m 31s","No","Actions (4)","alerttype: availability, alias: TO-GTM-CNCTJ-ME3801-GE-0/4_5002028.TR_NNI_XXX, class: network, component: interface, country: guatemala, interface: xe-3/0/0, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-26 04:10:33 AM","2026-06-26 04:17:34 AM","RESOLVED","GTM-CNCTJ-MPLS01","Module FPC: MPC3E NG PQ & Flex Q @ 3/*/* is in (Down or Off) State","7m 1s","No","Actions (4)","alerttype: hardware, class: network, country: guatemala, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 03:04:29 AM","2026-06-26 04:24:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/2(TO-GTM-CNGTC-MPLS01-xe-3/0/3_5002097.TR_BKBN_MPLS): Zero bandwidth usage","1h 19m 59s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-GTM-CNGTC-MPLS01-xe-3/0/3_5002097.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: xe-3/0/2, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 03:04:29 AM","2026-06-26 04:24:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/0(TO-GTM-CNCTJ-ME3801-GE-0/4_5002028.TR_NNI_XXX): Zero bandwidth usage","1h 19m 59s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-GTM-CNCTJ-ME3801-GE-0/4_5002028.TR_NNI_XXX, class: network, component: interface, country: guatemala, interface: xe-3/0/0, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 03:04:29 AM","2026-06-26 04:24:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","1h 19m 59s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 02:56:28 AM","2026-06-26 04:17:49 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/2(TO-GTM-CNGTC-MPLS01-xe-3/0/3_5002097.TR_BKBN_MPLS): Link down","1h 21m 21s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-GTM-CNGTC-MPLS01-xe-3/0/3_5002097.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: xe-3/0/2, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 02:56:28 AM","2026-06-26 04:17:49 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","1h 21m 21s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 02:56:28 AM","2026-06-26 04:17:49 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","1h 21m 21s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 02:56:28 AM","2026-06-26 04:17:49 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/0(TO-GTM-CNCTJ-ME3801-GE-0/4_5002028.TR_NNI_XXX): Link down","1h 21m 21s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-GTM-CNCTJ-ME3801-GE-0/4_5002028.TR_NNI_XXX, class: network, component: interface, country: guatemala, interface: xe-3/0/0, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-24 09:34:29 AM","2026-06-24 11:14:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","1h 39m 59s","No","Actions (4)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-24 09:17:40 AM","2026-06-24 11:16:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","1h 58m 48s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-24 09:17:40 AM","2026-06-24 11:16:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","1h 58m 48s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-22 10:44:28 AM","2026-06-22 12:24:25 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","1h 39m 57s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-22 10:26:28 AM","2026-06-22 12:26:28 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","2h","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-22 10:26:28 AM","2026-06-22 12:26:28 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","2h","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-19 06:05:39 PM","2026-06-19 08:14:30 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","2h 8m 51s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-19 05:56:34 PM","2026-06-19 08:16:34 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","2h 20m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-19 05:56:34 PM","2026-06-19 08:16:34 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","2h 20m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-19 06:44:28 AM","2026-06-19 09:44:27 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","2h 59m 59s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-19 06:36:28 AM","2026-06-19 09:46:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","3h 10m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-19 06:36:28 AM","2026-06-19 09:46:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","3h 10m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-18 09:54:27 AM","2026-06-18 12:04:29 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","2h 10m 2s","No","Actions (4)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-18 09:36:28 AM","2026-06-18 12:06:28 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","2h 30m","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-18 09:36:28 AM","2026-06-18 12:06:28 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","2h 30m","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-16 03:15:32 PM","2026-06-16 08:54:27 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","5h 38m 55s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-16 03:06:28 PM","2026-06-16 08:47:48 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","5h 41m 20s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-16 03:06:28 PM","2026-06-16 08:47:48 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","5h 41m 20s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-15 11:16:28 PM","2026-06-15 11:27:56 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","11m 28s","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
